Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,OperatingSystems,Browser,Region,TrafficType,Weekend,Month_Aug,Month_Dec,Month_Feb,Month_Jul,Month_June,Month_Mar,Month_May,Month_Nov,Month_Oct,Month_Sep,VisitorType_New_Visitor,VisitorType_Other,VisitorType_Returning_Visitor
3,0.3738559789223463,2,0.16740709352887062,33,0.33353574199225255,0.0,0.007830405,0.0,0.0,2,4,3,2,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,-0.46001930761763143,1,-0.24625722697292296,9,-0.5167859838187915,0.044444444,0.074074074,0.0,0.8,4,1,1,3,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,-0.13886463645020758,3,0.17447827849471323,15,-0.3406137216515749,0.0,0.011111111,0.0,0.0,2,2,1,1,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,-0.35296775056182345,0,-0.24625722697292296,21,-0.2630119674568015,0.01,0.018333333,0.0,0.0,2,4,1,1,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,-0.46001930761763143,0,-0.24625722697292296,3,-0.6287929912970114,0.2,0.2,0.0,0.0,1,1,1,3,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,-0.46001930761763143,0,-0.24625722697292296,8,-0.5674235704554565,0.15,0.15,0.0,0.0,1,1,3,3,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,-0.3304305806553376,0,-0.24625722697292296,15,-0.28691113707570076,0.028571429,0.028571429,0.0,0.0,1,1,8,2,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,-0.46001930761763143,0,-0.24625722697292296,11,-0.5306132054957744,0.0,0.009090909,0.0,0.0,1,1,1,8,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,-0.024300689444351965,2,-0.1967589322120246,24,-0.08110911405301499,0.0,0.014814815,0.0,0.0,2,13,9,20,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
12,2.4758696446379016,0,-0.24625722697292296,83,2.0409808592575933,0.0,0.011196593,35.25420124,0.0,2,2,7,6,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,-0.18168525927253076,0,-0.24625722697292296,176,2.9386232508869394,0.003370787,0.011516854,20.44064077,0.0,2,4,9,4,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,-0.46001930761763143,0,-0.24625722697292296,4,-0.6157689206600091,0.0,0.1,0.0,0.0,2,2,3,3,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,-0.46001930761763143,0,-0.24625722697292296,37,-0.44324339827115306,0.002702703,0.012162162,0.0,0.4,2,2,1,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,-0.46001930761763143,0,-0.24625722697292296,43,-0.16084392177956858,0.007317073,0.031707317,8.898618695,0.0,2,4,1,10,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,-0.46001930761763143,0,-0.24625722697292296,12,-0.4115514930718128,0.1,0.125,0.0,0.6,2,5,1,3,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,-0.39240779789817376,0,-0.24625722697292296,18,-0.2685471974775275,0.0,0.005,0.0,0.0,2,4,4,2,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,-0.46001930761763143,0,-0.24625722697292296,30,-0.44099978507081633,0.013333333,0.036666667,0.0,0.0,1,1,1,3,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,0.1935586196704592,0,-0.24625722697292296,22,0.02011830412099166,0.008695652,0.030434783,27.81913043,0.0,1,1,3,4,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,-0.16478238184266636,0,-0.24625722697292296,16,-0.5370514377299671,0.0,0.011764706,0.0,0.0,1,1,1,5,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,-0.29380767955729803,0,-0.24625722697292296,50,0.3255606367585245,0.0,0.010333333,52.03463312,0.0,2,4,3,8,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
17,0.8918099854514986,2,0.18154946346055587,49,0.37624102309611684,0.017486339,0.025063352,2.580028334,0.0,3,2,1,13,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,1.8077834142225104,0,-0.24625722697292296,38,0.14513201698235217,0.006818182,0.015649351,27.7134,0.0,3,2,1,7,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,-0.30225911827223023,0,-0.24625722697292296,8,-0.4777137719077846,0.0,0.01,0.0,0.0,2,2,1,2,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,-0.34169916560858055,0,-0.24625722697292296,9,-0.5849800176741357,0.0,0.006060606,0.0,0.0,2,2,3,2,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,0.27525586058147056,0,-0.24625722697292296,24,-0.1721430266224364,0.003076923,0.018034188,0.0,0.0,1,1,1,8,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
8,0.5076704252421061,2,-0.13311826751944097,49,0.1495688833653824,0.001257862,0.028773585,0.0,0.0,2,2,1,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2,0.04565844215914559,1,0.38307823498707066,49,0.46747502133695756,0.009615385,0.01954189,8.979934615,0.8,1,1,4,2,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,-0.4374821377111455,0,-0.24625722697292296,26,-0.5026629297025237,0.0,0.004273504,0.0,0.0,4,1,2,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
9,0.4562575063929353,0,-0.24625722697292296,37,-0.19047657673982205,0.000724638,0.0125,0.0,0.0,2,10,1,1,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,-0.3219791419404054,0,-0.24625722697292296,46,0.16602262628410383,0.0,0.006382979,107.2170213,0.0,2,2,2,4,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
11,0.7280025629532888,0,-0.24625722697292296,149,1.510863670319499,0.006369427,0.013305319,0.513385987,0.6,1,1,3,1,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,-0.42621355275790257,1,-0.24625722697292296,45,0.19576092073160486,0.043478261,0.050821256,54.17976426,0.4,3,2,1,1,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,-0.2712705096508121,0,-0.24625722697292296,34,-0.013092456057601816,0.0,0.03515625,0.0,0.0,1,1,1,2,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,0.10059279380620494,0,-0.24625722697292296,9,-0.5561186771425385,0.0,0.017222222,0.0,0.0,2,2,3,8,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,-0.46001930761763143,0,-0.24625722697292296,2,-0.6287929912970114,0.2,0.2,0.0,0.0,3,2,7,13,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0,-0.46001930761763143,0,-0.24625722697292296,2,-0.6287929912970114,0.2,0.2,0.0,0.0,3,2,6,1,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,0.11280042769336117,0,-0.24625722697292296,22,0.5434167794283322,0.0,0.019565217,32.70730435,0.0,2,4,4,1,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,-0.46001930761763143,0,-0.24625722697292296,3,-0.6025364648928146,0.0,0.066666667,0.0,0.0,2,2,3,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,-0.46001930761763143,0,-0.24625722697292296,12,-0.38967105440164895,0.0,0.02,0.0,0.0,2,4,3,1,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0.057772170983881786,0,-0.24625722697292296,6,-0.4861533696805621,0.0,0.005,0.0,0.0,3,2,1,2,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2,-0.2611287831928935,0,-0.24625722697292296,3,-0.6193635641558217,0.033333333,0.061111111,0.0,0.0,3,2,3,3,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,-0.46001930761763143,0,-0.24625722697292296,2,-0.626188177169611,0.0,0.1,0.0,0.0,2,2,1,2,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0.16426029879202753,0,-0.24625722697292296,6,-0.5841117462965989,0.0,0.028571429,59.57182786,0.0,1,1,1,4,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,-0.46001930761763143,0,-0.24625722697292296,10,0.23426875642199593,0.06,0.1,0.0,0.0,4,2,1,3,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,-0.3811392129449308,0,-0.24625722697292296,46,0.0902225351767504,0.0,0.01037037,0.0,0.0,4,1,1,1,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,-0.46001930761763143,0,-0.24625722697292296,2,-0.5694032291922808,0.05,0.066666667,0.0,0.8,3,3,1,3,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,-0.33493801463663475,0,-0.24625722697292296,34,-0.22150425433667517,0.017142857,0.028571429,0.0,0.0,2,2,6,1,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
3,-0.30225911827223023,0,-0.24625722697292296,20,-0.2986328006490028,0.0,0.019047619,32.43717827,0.0,2,10,1,1,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,0.9541881040143577,9,0.9699865871520086,64,1.625239500453843,0.008552632,0.024502924,0.0,0.0,2,2,4,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,-0.347333458085202,1,0.004769839314490227,35,-0.1356520614704346,0.0,0.013333333,0.0,0.0,2,2,1,2,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,-0.46001930761763143,0,-0.24625722697292296,11,-0.42058151536276905,0.054545455,0.072727273,0.0,0.8,2,2,1,2,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,-0.46001930761763143,0,-0.24625722697292296,10,-0.5720514568711059,0.02,0.04,0.0,0.0,2,4,1,10,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2,-0.3811392129449308,0,-0.24625722697292296,65,0.48109111517076114,0.016923077,0.024589744,20.60235987,0.0,3,2,1,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,-0.46001930761763143,0,-0.24625722697292296,11,-0.004783718936956733,0.0,0.01,0.0,0.0,2,2,3,20,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2,0.0104441141802614,2,0.6411764862403265,11,-0.5173344419160822,0.007692308,0.003247863,0.0,0.0,3,2,5,2,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,0.242576964217066,5,0.38237111649048644,11,-0.32788486329971,0.010526316,0.010526316,0.0,0.0,3,2,3,2,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,-0.36874376949636356,0,-0.24625722697292296,3,-0.4891749540683466,0.0,0.04,49.55482147,0.0,2,2,5,5,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,-0.14562578742215335,0,-0.24625722697292296,17,0.42521899721431156,0.0,0.011111111,0.0,0.0,2,2,1,2,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,0.8800032528843653,2,-0.08361997275854259,82,0.3165275461528151,0.002325581,0.010385835,8.495651163,0.0,3,2,3,2,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,-0.46001930761763143,0,-0.24625722697292296,28,1.6877333325534045,0.030952381,0.07047619,0.0,0.0,2,5,1,3,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,-0.46001930761763143,0,-0.24625722697292296,10,-0.562717539615985,0.04,0.06,0.0,0.0,2,5,1,1,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4,-0.23352075005744827,1,-0.13217544288089925,9,-0.5090323204502616,0.0,0.014285714,0.0,0.0,2,2,6,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,-0.46001930761763143,0,-0.24625722697292296,3,-0.610038329579728,0.0,0.066666667,0.0,0.0,2,7,3,11,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,-0.46001930761763143,0,-0.24625722697292296,3,-0.5964932961172457,0.0,0.066666667,0.0,0.8,3,2,8,2,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,-0.46001930761763143,0,-0.24625722697292296,65,0.3108072914959545,0.023794872,0.031250162,0.0,0.8,3,2,6,3,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,-0.3462065995898777,6,1.3518305753075104,76,0.05292510191026557,0.032611502,0.054407935,0.0,0.0,3,2,6,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
8,2.169035467036367,5,0.32933722924666675,25,0.006872824283160334,0.02,0.040444444,0.0,0.0,3,2,3,2,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,-0.46001930761763143,0,-0.24625722697292296,19,-0.14782969155728046,0.0,0.0,0.0,0.0,1,1,1,4,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,-0.46001930761763143,0,-0.24625722697292296,8,-0.5467041346386208,0.0,0.025,0.0,0.0,3,2,2,3,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,-0.40931067532803816,1,-0.037657270480565525,23,-0.02573510740866868,0.007692308,0.053846154,0.0,0.0,2,2,7,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
16,0.46921637908916475,5,0.22662826761780258,64,0.36082741840490135,0.010964912,0.029949875,83.78651166,0.0,3,2,1,3,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,-0.46001930761763143,0,-0.24625722697292296,17,-0.4467816041449041,0.0125,0.01875,0.0,0.0,3,2,9,20,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0.41104230926804797,2,0.2458972466497237,20,-0.3791997016094991,0.0,0.009375,0.0,0.0,3,2,2,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,-0.3980420903747952,0,-0.24625722697292296,2,-0.6021891563407582,0.0,0.0,0.0,0.0,2,2,9,6,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,-0.34169916560858055,1,5.428368708115784,48,0.4516404953535645,0.003921569,0.02627451,0.0,0.0,2,2,3,2,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
5,0.33216221459534734,0,-0.24625722697292296,81,0.6258484642178205,0.002554278,0.007459475,23.07581495,0.0,2,4,1,2,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0.018895552895193606,4,1.2280848384052645,12,-0.41321857411334917,0.0,0.003921569,0.0,0.0,1,1,1,2,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,-0.46001930761763143,0,-0.24625722697292296,4,-0.603526294261227,0.05,0.1,0.0,0.0,2,2,9,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2,1.2482981712939984,0,-0.24625722697292296,13,-0.5344639890127172,0.0,0.016666667,0.0,0.0,1,1,3,2,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,0.0831264871286784,2,0.13134405020307321,9,-0.45253042892407697,0.0,0.013333333,0.0,0.0,1,1,3,5,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,-0.46001930761763143,1,-0.24625722697292296,50,-0.04768004596529239,0.007843137,0.015686275,0.0,0.0,3,2,6,4,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
4,-0.06421026113497309,1,0.7401730757621233,58,0.9457496350601626,0.0,0.009611111,0.0,0.0,1,1,2,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,-0.46001930761763143,0,-0.24625722697292296,3,-0.4230126752323749,0.0,0.066666667,0.0,0.0,1,1,3,3,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,-0.31916199570209464,0,-0.24625722697292296,14,-0.4219707495814147,0.03625,0.047395833,14.9925,0.0,1,1,3,3,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,-0.46001930761763143,0,-0.24625722697292296,1,-0.6063915898013674,0.0,0.1,0.0,0.0,3,2,8,2,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
5,0.14961113835281176,0,-0.24625722697292296,37,0.04248497458794944,0.005263158,0.028070175,0.0,0.0,2,2,1,1,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,-0.34827250685008654,0,-0.24625722697292296,17,-0.3448248378589364,0.0,0.00625,9.836358025,0.0,3,2,5,2,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,-0.46001930761763143,0,-0.24625722697292296,9,-0.4821419559243654,0.0,0.008333333,0.0,0.0,4,2,9,7,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0.32596449287106377,0,-0.24625722697292296,100,0.3251676093789116,0.0,0.000505051,0.0,0.0,2,2,3,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2,-0.22619616983784038,2,0.18154946346055587,21,-0.350338361077902,0.004347826,0.02173913,0.0,0.0,2,2,2,13,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,-0.46001930761763143,0,-0.24625722697292296,2,-0.6287929912970114,0.2,0.2,0.0,0.0,2,2,6,13,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,-0.46001930761763143,0,-0.24625722697292296,7,-0.6063915898013674,0.085714286,0.121428571,0.0,0.0,3,2,1,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
8,0.48748087738868906,0,-0.24625722697292296,70,0.4895881136695755,0.0,0.009316323,67.30929078,0.0,2,4,5,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,-0.46001930761763143,0,-0.24625722697292296,6,-0.586855483845864,0.033333333,0.066666667,0.0,0.0,2,2,3,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,-0.39240779789817376,1,-0.07654878779269997,3,-0.6260145228946246,0.033333333,0.083333333,0.0,0.0,2,2,1,3,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,-0.46001930761763143,0,-0.24625722697292296,2,-0.6225414373912502,0.0,0.1,0.0,0.0,1,1,1,4,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,-0.46001930761763143,0,-0.24625722697292296,1,-0.6287929912970114,0.2,0.2,0.0,0.0,4,2,3,4,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,-0.46001930761763143,0,-0.24625722697292296,8,-0.5949304076408054,0.025,0.05,0.0,0.0,2,2,4,13,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4,0.9248897831359262,1,-0.24625722697292296,28,-0.25999732922265795,0.0,0.017241379,0.0,0.0,1,1,3,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,-0.46001930761763143,1,-0.24625722697292296,124,1.5037321377876696,0.005816216,0.043499683,0.0,0.0,2,2,8,13,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,-0.46001930761763143,0,-0.24625722697292296,8,-0.38723989453204316,0.0,0.0375,0.0,0.0,1,1,1,3,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,-0.46001930761763143,0,-0.24625722697292296,8,-0.5147021325168711,0.0,0.025,0.0,0.0,2,5,3,2,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,0.3783634129036435,4,0.32886581689204,29,0.26501662316610636,0.010909091,0.027138047,0.0,0.0,2,2,9,1,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
